geoid,population,median_hh_income
482012106001,1596.0,80573.0
482012106003,2097.0,90849.0
482012206003,497.0,
482012207013,741.0,66148.0
482012207023,1519.0,
482012223001,2630.0,39093.0
482012405063,1463.0,37236.0
482012415011,1202.0,56309.0
482012507012,1493.0,
482013217001,1696.0,80109.0
482013311003,535.0,52604.0
482013312001,1876.0,80337.0
482013312002,1660.0,26875.0
482013313001,1607.0,45000.0
482013313002,1416.0,82237.0
482013313003,1232.0,
482013314001,2428.0,24242.0
482013318001,1090.0,
482013327002,1433.0,43421.0
482013331002,638.0,125718.0
482013332012,1087.0,
482014317012,1224.0,86944.0
482014318032,1790.0,72764.0
482014318041,645.0,96818.0
482014318043,1385.0,220508.0
482014319021,943.0,150709.0
482014319022,1526.0,101184.0
482015110011,2065.0,90724.0
482015113011,1659.0,
482015113013,641.0,203359.0
482015113014,1879.0,177368.0
482015114001,1055.0,135795.0
482015114003,755.0,170938.0
482015206011,1581.0,42849.0
482015206032,1274.0,33242.0
482015216001,1241.0,90573.0
482015219001,3066.0,136316.0
482015320041,1331.0,
482015323023,1178.0,64583.0
482015502012,1039.0,36806.0
482012207021,721.0,40694.0
482012216011,2133.0,70694.0
482012405051,367.0,26964.0
482012520032,6615.0,176712.0
482013117021,1917.0,32614.0
482013144021,945.0,84531.0
482013303011,3292.0,93185.0
482013329001,2371.0,42743.0
482013333021,1327.0,41489.0
482013335012,1476.0,41506.0
482014104014,957.0,116618.0
482014107041,1260.0,75236.0
482014109001,2268.0,112024.0
482014115041,1098.0,157860.0
482014122013,655.0,169135.0
482014211013,553.0,35893.0
482014312041,2168.0,71538.0
482014313031,1052.0,54150.0
482014315051,597.0,70429.0
482014320032,1086.0,53684.0
482014321021,4056.0,53744.0
482014327051,3305.0,37054.0
482014327062,1300.0,
482014546003,1560.0,37073.0
482015110032,1085.0,186373.0
482015112022,1848.0,217885.0
482015115012,1401.0,135673.0
482015203011,1414.0,68563.0
482015203022,1566.0,87063.0
482015205023,3439.0,52586.0
482015215011,1458.0,77986.0
482015220022,518.0,56023.0
482015301011,466.0,30344.0
482015321022,557.0,
482015323021,1221.0,100423.0
482015333011,2579.0,38839.0
482015503081,1942.0,41761.0
482015504051,1191.0,51773.0
482015515013,1545.0,77740.0
482015527012,1479.0,96182.0
482012205004,1087.0,
482012312002,1349.0,
482012325002,2827.0,42750.0
482012327032,1590.0,58098.0
482012327041,1198.0,72583.0
482013129012,1466.0,13397.0
482013129022,1276.0,102308.0
482013134003,1351.0,40543.0
482013202021,878.0,37041.0
482013207001,1161.0,49559.0
482013332042,670.0,26208.0
482013409003,1223.0,48019.0
482014115042,1571.0,118090.0
482014115052,1030.0,100278.0
482014115062,1120.0,64821.0
482014215011,1006.0,41458.0
482014216012,1724.0,37008.0
482014216021,642.0,38125.0
482014226013,973.0,
482014226022,1460.0,57092.0
482014228002,737.0,80303.0
482014230011,3299.0,36117.0
482014230021,1004.0,31821.0
482014230022,2076.0,35781.0
482014301011,1248.0,103466.0
482014301012,911.0,63094.0
482014301013,637.0,90500.0
482014301021,1274.0,230769.0
482014315061,1109.0,75114.0
482014317011,851.0,118750.0
482014317022,1778.0,175972.0
482014319011,293.0,39152.0
482015103022,1775.0,132969.0
482015104001,1377.0,250001.0
482015106011,962.0,209750.0
482015106022,776.0,202414.0
482015107021,1234.0,250001.0
482015108012,1487.0,177794.0
482015108021,1524.0,250001.0
482015109022,4559.0,99736.0
482012207022,1565.0,29934.0
482012215021,835.0,36295.0
482012215022,2118.0,35422.0
482013117012,1436.0,47755.0
482013202023,1018.0,37891.0
482013333011,2180.0,41250.0
482013339043,2696.0,66224.0
482014102022,2038.0,126484.0
482014113011,1918.0,114402.0
482014115051,2273.0,105739.0
482014115071,2167.0,85782.0
482014122022,1394.0,194046.0
482014130003,1122.0,
482014132031,1874.0,63640.0
482014132051,1503.0,63837.0
482014132061,1433.0,95806.0
482014133011,1102.0,137664.0
482014216023,610.0,26913.0
482014223041,1814.0,54401.0
482014224032,892.0,135714.0
482014224041,1172.0,58849.0
482014224042,1504.0,32778.0
482014224061,1853.0,
482014224062,904.0,35833.0
482014225021,1347.0,148291.0
482014225022,1696.0,36026.0
482014226021,899.0,96250.0
482014318042,568.0,96875.0
482014319013,1268.0,52146.0
482015112021,1662.0,160578.0
482015203021,1025.0,49202.0
482015301013,595.0,36438.0
482015301021,1499.0,49273.0
482015417021,1293.0,75964.0
482015417022,1351.0,61532.0
482015417032,1866.0,75403.0
482015418021,1345.0,63319.0
482015424022,858.0,
482015425002,2281.0,67311.0
482015429014,1409.0,119209.0
482012111023,1163.0,30607.0
482012115013,484.0,29326.0
482012115021,1520.0,68500.0
482012125003,822.0,22162.0
482012210002,1925.0,54583.0
482012220001,2028.0,40598.0
482012225012,1894.0,56069.0
482012302004,1129.0,63824.0
482012303001,1298.0,50486.0
482012306002,1745.0,40714.0
482012307001,982.0,44063.0
482012307002,2464.0,41269.0
482012308001,1140.0,43688.0
482012322011,1848.0,50610.0
482012327031,1103.0,39464.0
482012405041,320.0,36985.0
482012415032,1149.0,44167.0
482013105004,620.0,34464.0
482013110022,883.0,
482013115023,837.0,66052.0
482013139023,772.0,54877.0
482013326003,2029.0,46542.0
482013326004,1693.0,40783.0
482013328001,732.0,36579.0
482013328003,2396.0,70167.0
482013329002,1107.0,47308.0
482013330001,2310.0,68056.0
482013335021,385.0,
482013338012,589.0,
482013338022,2865.0,52481.0
482013339051,566.0,
482013339052,2882.0,66487.0
482013413041,882.0,119423.0
482013501042,2224.0,77907.0
482014105022,907.0,139519.0
482014115061,1851.0,131865.0
482014117003,2403.0,82596.0
482014546001,1324.0,36705.0
482015108013,1505.0,115777.0
482015215021,1610.0,71321.0
482012304001,667.0,41053.0
482012309001,1484.0,21858.0
482012309002,629.0,32582.0
482012309003,861.0,
482012309004,1550.0,
482012310001,2933.0,53846.0
482012310002,3182.0,40909.0
482012319004,577.0,44261.0
482012320001,1676.0,45317.0
482013206021,1605.0,27416.0
482013207002,1281.0,38675.0
482013217002,1506.0,72031.0
482013303031,1365.0,70526.0
482013303032,2133.0,53240.0
482013303033,1236.0,57690.0
482013340021,1151.0,74679.0
482013413021,1915.0,80471.0
482013413022,1453.0,75885.0
482014117002,688.0,100739.0
482014205001,559.0,57237.0
482014205003,1820.0,47687.0
482014214011,1056.0,33616.0
482014214021,1506.0,38966.0
482014222001,1179.0,49008.0
482014227011,1607.0,40858.0
482014227013,1947.0,45408.0
482014231001,1030.0,33818.0
482014233011,1315.0,85938.0
482014233013,1465.0,48729.0
482014234013,618.0,38211.0
482014234021,3088.0,85341.0
482014234022,1509.0,47066.0
482014514012,820.0,55000.0
482014522021,1306.0,62104.0
482014528013,1519.0,32958.0
482014528022,1633.0,65924.0
482015201001,3406.0,151217.0
482015202001,1331.0,177734.0
482015202003,1143.0,175577.0
482015204002,1767.0,33679.0
482012112001,1329.0,52514.0
482012124002,802.0,50417.0
482012318002,1935.0,55500.0
482012325001,1570.0,44899.0
482012327013,1757.0,29250.0
482012332003,1385.0,56369.0
482012511004,382.0,133958.0
482012515011,2657.0,133000.0
482013109004,600.0,51379.0
482013302001,4046.0,87898.0
482013302002,2084.0,55320.0
482013303021,2562.0,70081.0
482013304001,1483.0,76042.0
482013307001,1292.0,80404.0
482013316022,395.0,89500.0
482013326002,1826.0,
482013330002,1218.0,67500.0
482013331001,1287.0,35977.0
482013336001,1066.0,61310.0
482013336002,720.0,72188.0
482013340033,1658.0,
482014201002,1371.0,108542.0
482014203002,1132.0,76862.0
482014204002,1250.0,95952.0
482014204003,1569.0,
482014206001,2358.0,92219.0
482014307001,603.0,
482014307002,1014.0,171680.0
482014318013,1055.0,77639.0
482014506003,1471.0,75245.0
482014509001,1362.0,73788.0
482014509002,1421.0,170536.0
482014511001,1240.0,104473.0
482014511002,1682.0,56208.0
482014512001,1731.0,168417.0
482014512002,1039.0,157824.0
482014538001,1824.0,59840.0
482015116002,829.0,74628.0
482015325021,1482.0,55938.0
482015406021,3396.0,43251.0
482012105001,1537.0,67727.0
482012106002,1722.0,48718.0
482012107001,2208.0,61161.0
482012316001,641.0,36500.0
482012316002,2126.0,37031.0
482012318001,1316.0,59722.0
482012319001,1333.0,40208.0
482013105002,593.0,61857.0
482013206023,2030.0,58307.0
482013304002,1469.0,47167.0
482013304003,2095.0,38313.0
482013305001,3213.0,87904.0
482013305002,1540.0,
482013305003,713.0,31815.0
482013306001,1159.0,58036.0
482013306002,2714.0,39129.0
482013306003,582.0,57857.0
482013336003,1433.0,103069.0
482013337001,2230.0,64122.0
482013337002,1908.0,70638.0
482014109002,1297.0,95818.0
482014501001,1874.0,151111.0
482014507001,1802.0,185000.0
482014533001,3184.0,36313.0
482014535022,2437.0,61094.0
482014536011,1596.0,57862.0
482015207001,728.0,145625.0
482015207003,1697.0,101941.0
482015207004,1350.0,250001.0
482015216002,1731.0,96141.0
482015308003,959.0,127344.0
482015310001,2660.0,213781.0
482015310002,2367.0,133795.0
482015311001,1073.0,169583.0
482015311002,2479.0,181821.0
482015312001,1106.0,60965.0
482015312002,1268.0,152656.0
482015312003,1427.0,
482015313002,1937.0,93538.0
482015319003,1416.0,
482012302002,273.0,66875.0
482012308002,1211.0,31838.0
482012512001,1352.0,123696.0
482012514023,1597.0,58717.0
482013103006,650.0,
482013109002,937.0,33550.0
482013113003,1665.0,68702.0
482013136001,1547.0,
482013205002,1775.0,70664.0
482013306004,2693.0,55357.0
482013319003,952.0,55168.0
482013322003,1413.0,
482013332013,1007.0,39815.0
482014114002,1149.0,250001.0
482014120002,1302.0,179444.0
482014202002,1095.0,65755.0
482014204001,895.0,131486.0
482014220001,488.0,152188.0
482014232012,1392.0,70903.0
482014326001,940.0,220469.0
482014332021,1456.0,58494.0
482014528012,1573.0,67697.0
482015113023,1313.0,104730.0
482015204001,2070.0,
482015207002,730.0,43050.0
482015213002,1573.0,
482015223011,1599.0,
482015223012,1521.0,41926.0
482015224011,1046.0,95590.0
482015224021,841.0,93370.0
482015308002,880.0,41906.0
482015315002,496.0,75833.0
482015317002,2148.0,219719.0
482015324001,2709.0,63630.0
482015324002,2834.0,64806.0
482015331003,2036.0,68036.0
482015332002,1417.0,43390.0
482015332003,593.0,35163.0
482015405022,2190.0,104688.0
482015521022,2249.0,
482012203001,510.0,31748.0
482012332002,2414.0,58750.0
482013124001,897.0,
482013127002,1423.0,105723.0
482013128001,390.0,
482013128002,3362.0,16200.0
482013130001,884.0,155764.0
482013311002,1540.0,68138.0
482013401011,1610.0,59022.0
482013401021,3815.0,70117.0
482013401022,1683.0,102243.0
482013405022,1395.0,53998.0
482014112001,1013.0,131369.0
482014112002,687.0,250001.0
482014114001,1278.0,187542.0
482014114003,471.0,250001.0
482014116001,1347.0,153021.0
482014116002,1459.0,105588.0
482014120001,1785.0,250001.0
482014227012,1196.0,121680.0
482014227021,2020.0,60962.0
482014227022,1425.0,100729.0
482014228001,1551.0,47703.0
482014228003,2245.0,52627.0
482014311022,222.0,
482014332011,1752.0,57256.0
482014332022,384.0,57614.0
482014513012,776.0,205528.0
482014513021,1609.0,139244.0
482014519031,2004.0,
482014519042,2602.0,116500.0
482014519043,536.0,37014.0
482014520011,1800.0,46845.0
482014526021,2158.0,70199.0
482014534011,1973.0,73269.0
482015105002,2545.0,124424.0
482015308001,977.0,23946.0
482015335001,1617.0,76484.0
482015340021,1808.0,52427.0
482019800001,35.0,
482012123005,1176.0,81734.0
482012125001,936.0,61827.0
482012202001,1463.0,51944.0
482012215012,2209.0,38958.0
482012225051,1845.0,77746.0
482012409052,1228.0,
482012415013,1721.0,48456.0
482013101021,857.0,92301.0
482013211011,2596.0,84500.0
482013405013,827.0,71956.0
482013405014,824.0,160833.0
482013502012,2541.0,111413.0
482014118011,1741.0,120551.0
482014229003,1474.0,49113.0
482014229004,1496.0,49185.0
482014232043,2163.0,31806.0
482014308003,2263.0,243063.0
482014334004,1197.0,24628.0
482014513014,1930.0,109700.0
482014521011,2606.0,71225.0
482014521013,2487.0,49174.0
482014534043,2583.0,32083.0
482014534053,1830.0,48574.0
482014536042,1891.0,91500.0
482014537022,1979.0,45625.0
482015115011,2356.0,114962.0
482015206042,2192.0,81512.0
482015210002,780.0,116776.0
482015221022,2447.0,122604.0
482015221023,454.0,157500.0
482015223013,892.0,72784.0
482015223023,454.0,117750.0
482015303001,1226.0,78983.0
482015305022,1524.0,64632.0
482015306003,897.0,130352.0
482015320042,1161.0,15802.0
482015321021,2751.0,42862.0
482015503032,485.0,39762.0
482015503041,384.0,34895.0
482015532012,1356.0,69605.0
482014311013,1533.0,37420.0
482014311023,2490.0,62851.0
482014312031,1235.0,36818.0
482014312052,1235.0,48373.0
482014312053,910.0,43620.0
482014312061,808.0,72450.0
482014314031,724.0,116488.0
482014314042,951.0,82670.0
482014321012,2611.0,60519.0
482014323012,132.0,
482014327052,762.0,
482014328032,877.0,34663.0
482014328051,1716.0,41113.0
482014329031,1575.0,47616.0
482014330033,1719.0,36250.0
482014330061,1178.0,38833.0
482014330062,724.0,42458.0
482014330063,337.0,32727.0
482014330071,1073.0,44063.0
482014506001,963.0,131694.0
482014510032,865.0,68241.0
482014510051,440.0,32644.0
482014510053,754.0,
482014514041,1850.0,49303.0
482014514061,1198.0,
482014519034,781.0,38106.0
482014520021,1291.0,60205.0
482015115023,580.0,203516.0
482015212021,1088.0,67120.0
482015222011,2189.0,
482015302001,1524.0,
482015309001,1360.0,44093.0
482015314001,2139.0,97464.0
482015319001,3483.0,42625.0
482015326001,1416.0,41172.0
482015326002,1615.0,69759.0
482015335003,1258.0,
482015402001,2433.0,57045.0
482015407001,1667.0,108275.0
482015533002,976.0,
482012104002,1466.0,37155.0
482012108002,1220.0,44911.0
482012109001,1812.0,45599.0
482012110001,1674.0,26563.0
482012124003,1112.0,41250.0
482012223003,1079.0,35435.0
482012315002,1459.0,53878.0
482012319003,407.0,18574.0
482012406001,1996.0,33499.0
482012510002,1070.0,65250.0
482012511001,2201.0,140076.0
482012511002,1078.0,79676.0
482012511003,2561.0,110246.0
482013106001,1699.0,
482013106002,850.0,
482013106003,607.0,51235.0
482013106004,283.0,
482013106005,1159.0,103500.0
482013107001,1493.0,41885.0
482013107002,1849.0,138977.0
482013108001,925.0,50444.0
482013123001,1427.0,112198.0
482013123002,1306.0,
482013316021,2272.0,75167.0
482013317001,2225.0,25726.0
482013327001,886.0,60313.0
482014330032,2011.0,65476.0
482014331002,745.0,61364.0
482014334001,1280.0,67739.0
482014523001,2216.0,71384.0
482014538002,1790.0,
482015111002,1281.0,204240.0
482015113021,1683.0,171711.0
482015113022,1965.0,250001.0
482015210001,1378.0,37734.0
482015211001,2101.0,36250.0
482015213001,754.0,31261.0
482015213003,1817.0,
482015213004,1197.0,
482019801001,0.0,
482012215011,2636.0,52383.0
482012225042,1698.0,29435.0
482012514011,2975.0,125521.0
482012514021,3874.0,58309.0
482012515031,2767.0,139571.0
482013125011,1600.0,160331.0
482013127001,870.0,
482013138012,401.0,22500.0
482013139011,2042.0,88000.0
482013140033,1087.0,68984.0
482013144022,1092.0,87712.0
482013207003,955.0,69297.0
482013320002,3498.0,14468.0
482013329003,1157.0,
482013332031,1304.0,41937.0
482014105021,1177.0,190833.0
482014107061,1835.0,72305.0
482014108011,825.0,62601.0
482014119021,2391.0,113125.0
482014122012,851.0,250001.0
482014202001,1395.0,53287.0
482014207002,1303.0,217134.0
482014211031,1533.0,41982.0
482014211041,2310.0,31607.0
482014312042,1027.0,106806.0
482014314012,1776.0,84271.0
482014320051,952.0,46667.0
482014320053,1795.0,43090.0
482014327053,1175.0,34034.0
482014401011,1842.0,25323.0
482014535014,2806.0,72931.0
482015107022,825.0,215625.0
482015110031,251.0,
482015111001,1113.0,250001.0
482015111003,2091.0,76794.0
482015112011,1638.0,202038.0
482015332001,1242.0,21629.0
482015333012,575.0,
482015333021,259.0,12955.0
482015334012,1907.0,46689.0
482012105002,2153.0,56166.0
482012105003,1077.0,26385.0
482012119002,733.0,76500.0
482012203002,517.0,58958.0
482012203003,2746.0,58477.0
482012204002,2570.0,78413.0
482012205001,345.0,48220.0
482012206001,1135.0,88165.0
482012206002,1536.0,23554.0
482012208001,1350.0,39333.0
482012214002,1088.0,40958.0
482012301001,1783.0,51389.0
482012336001,1032.0,49408.0
482012510003,1088.0,59340.0
482013111004,2110.0,44926.0
482013116001,697.0,46641.0
482013116002,938.0,46989.0
482013303023,1494.0,67850.0
482013328002,1460.0,41696.0
482013338013,1181.0,56908.0
482013505001,1477.0,80824.0
482014208001,1039.0,250001.0
482014208002,991.0,249375.0
482014208003,799.0,144000.0
482014309001,1404.0,86763.0
482014309002,502.0,246250.0
482014309003,1660.0,95345.0
482014309004,1993.0,68594.0
482014311011,596.0,105920.0
482014312051,1369.0,55761.0
482014312062,1087.0,71693.0
482014334002,1147.0,67237.0
482014508011,1463.0,83403.0
482015206012,1077.0,44211.0
482015224013,2560.0,61101.0
482015320044,629.0,91848.0
482015327001,1179.0,57533.0
482015327003,2201.0,78036.0
482015331001,1889.0,60147.0
482015521012,1622.0,58207.0
482012114003,2285.0,125492.0
482012123003,851.0,60400.0
482012201001,1524.0,50417.0
482012202002,942.0,73611.0
482012302001,1184.0,32116.0
482012302003,1486.0,35566.0
482012302005,1197.0,38268.0
482012303002,857.0,52593.0
482012304002,1886.0,77704.0
482012304003,1674.0,57740.0
482012305001,781.0,61250.0
482012305002,1375.0,51852.0
482012305003,1410.0,
482012326002,1589.0,72188.0
482012408024,969.0,20789.0
482013323001,1345.0,41023.0
482013323002,1565.0,52056.0
482013324001,2008.0,70012.0
482013324002,789.0,41862.0
482013324003,1260.0,38333.0
482013325001,2161.0,85938.0
482013325002,1249.0,72314.0
482013402011,0.0,
482013403021,3009.0,149557.0
482013406001,1322.0,134375.0
482013406002,1141.0,119167.0
482013408001,2469.0,159443.0
482013409001,1598.0,32043.0
482013409002,508.0,45179.0
482014103002,1009.0,139375.0
482014104011,1413.0,
482014111002,1237.0,110682.0
482014111003,1145.0,165081.0
482014117001,425.0,40512.0
482014214012,2291.0,40625.0
482014311012,2474.0,86971.0
482014330031,1746.0,24650.0
482014331001,2550.0,46732.0
482014332012,1345.0,37415.0
482014508012,781.0,76053.0
482012104001,2162.0,58371.0
482012123001,1151.0,
482012123002,680.0,48833.0
482012123004,873.0,55546.0
482012312001,2227.0,30524.0
482012313001,2295.0,34193.0
482012313002,3065.0,69459.0
482012314001,3699.0,49535.0
482012315001,1734.0,39958.0
482013118001,1683.0,50293.0
482013122001,566.0,
482013122002,343.0,
482013124002,989.0,10981.0
482013133001,1652.0,20766.0
482013134002,1365.0,38203.0
482013140011,1870.0,66550.0
482013408002,1387.0,91863.0
482013408003,2287.0,147703.0
482013505004,1564.0,68558.0
482014211012,1435.0,51453.0
482014214022,2155.0,36912.0
482014234012,1170.0,76710.0
482014313022,2112.0,74646.0
482014534012,1666.0,76659.0
482014544001,1013.0,60242.0
482015105001,1167.0,133273.0
482015222012,2995.0,79063.0
482015222021,2326.0,39583.0
482015222022,1762.0,
482015223021,2056.0,34759.0
482015315001,716.0,89000.0
482015315003,1427.0,51806.0
482015316001,1494.0,163929.0
482015316002,1508.0,200357.0
482015317001,1799.0,225333.0
482015318001,2928.0,35875.0
482015319002,1241.0,
482015327002,2009.0,103271.0
482015339022,1568.0,58044.0
482015520021,1473.0,67250.0
482012112002,1001.0,14755.0
482012114001,1421.0,71886.0
482012114002,585.0,11998.0
482012204003,555.0,55100.0
482012205002,1369.0,42163.0
482012205003,628.0,17195.0
482012214003,3423.0,31316.0
482012225011,1553.0,43839.0
482012306001,1331.0,44559.0
482012333002,1505.0,43482.0
