geoid,population,median_hh_income,poverty_total,poverty_below,total_households,snap_households
48201240804,2993.0,41701.0,2993.0,772.0,1232.0,289.0
48201240903,6344.0,91250.0,6282.0,851.0,1942.0,264.0
48201240904,9142.0,76500.0,9142.0,846.0,3286.0,400.0
48201241001,3587.0,82663.0,3587.0,344.0,1360.0,151.0
48201241104,11688.0,90348.0,11662.0,2156.0,3375.0,894.0
48201241302,8982.0,96767.0,8982.0,168.0,3208.0,290.0
48201250305,5769.0,89746.0,5769.0,616.0,1941.0,74.0
48201250901,4067.0,93466.0,4067.0,388.0,1817.0,28.0
48201321700,3202.0,77482.0,3201.0,403.0,1027.0,189.0
48201331100,4129.0,58717.0,4120.0,1016.0,1659.0,568.0
48201331200,5016.0,32156.0,4997.0,1851.0,1865.0,872.0
48201331300,5819.0,41975.0,5777.0,1952.0,1909.0,515.0
48201331400,3353.0,21099.0,3353.0,2618.0,985.0,461.0
48201342001,6399.0,147576.0,6399.0,584.0,2158.0,81.0
48201350102,5213.0,120419.0,5213.0,225.0,1904.0,0.0
48201350804,6520.0,154221.0,6520.0,331.0,2077.0,70.0
48201421101,2746.0,57039.0,2746.0,679.0,1520.0,180.0
48201423301,4664.0,52578.0,4664.0,562.0,2095.0,337.0
48201453401,3639.0,74928.0,3626.0,828.0,997.0,265.0
48201520501,4009.0,44181.0,4003.0,1286.0,1279.0,485.0
48201521402,3430.0,43276.0,3430.0,1401.0,994.0,211.0
48201521701,4632.0,31588.0,4594.0,2219.0,1801.0,192.0
48201521702,3159.0,34656.0,3159.0,1116.0,1418.0,372.0
48201541004,5738.0,76413.0,5726.0,400.0,1943.0,125.0
48201541005,4587.0,78116.0,4587.0,151.0,2623.0,229.0
48201550201,1946.0,35625.0,1946.0,765.0,664.0,189.0
48201550202,2240.0,21576.0,2164.0,981.0,887.0,409.0
48201551705,4738.0,117615.0,4738.0,335.0,1617.0,83.0
48201551901,2362.0,73713.0,2362.0,44.0,1099.0,78.0
48201552304,2079.0,91350.0,2079.0,59.0,707.0,0.0
48201553803,4828.0,118500.0,4828.0,145.0,1492.0,9.0
48201553804,5826.0,69227.0,5826.0,602.0,1963.0,283.0
48201554404,4776.0,189167.0,4766.0,26.0,1634.0,0.0
48201554804,4671.0,137115.0,4622.0,68.0,1768.0,135.0
48201554808,3205.0,147338.0,3205.0,345.0,1045.0,96.0
48201554905,8210.0,129497.0,8210.0,767.0,2579.0,320.0
48201554906,4743.0,92700.0,4722.0,339.0,1678.0,149.0
48201555002,4839.0,93409.0,4839.0,718.0,1742.0,239.0
48201555505,11508.0,132500.0,11508.0,1232.0,3592.0,238.0
48201555704,8211.0,165000.0,8211.0,19.0,2388.0,0.0
48201232701,7134.0,39069.0,7088.0,2232.0,2378.0,688.0
48201233103,5036.0,46522.0,5036.0,1356.0,1480.0,469.0
48201250201,7894.0,59350.0,7894.0,603.0,2582.0,459.0
48201250303,3416.0,82586.0,3416.0,442.0,1274.0,27.0
48201250405,9951.0,114458.0,9951.0,951.0,2918.0,503.0
48201252001,7718.0,84720.0,7718.0,468.0,3118.0,0.0
48201252100,3992.0,93000.0,3966.0,652.0,1026.0,144.0
48201253000,4911.0,53521.0,4911.0,1249.0,1844.0,395.0
48201253300,3682.0,98977.0,3682.0,225.0,1206.0,136.0
48201314001,3169.0,62500.0,2758.0,412.0,1590.0,108.0
48201320602,4365.0,52061.0,4365.0,1280.0,1493.0,482.0
48201322800,5509.0,65417.0,5492.0,1108.0,1543.0,348.0
48201340600,2463.0,124435.0,2463.0,52.0,988.0,14.0
48201340800,6143.0,142072.0,6143.0,315.0,2025.0,131.0
48201420600,2358.0,92219.0,2358.0,185.0,915.0,38.0
48201420700,2872.0,199875.0,2872.0,35.0,984.0,20.0
48201420900,6130.0,246500.0,6116.0,95.0,2262.0,24.0
48201433300,4680.0,86925.0,4680.0,339.0,1764.0,123.0
48201433400,4329.0,46243.0,4329.0,1032.0,1728.0,321.0
48201450100,1874.0,151111.0,1874.0,30.0,708.0,21.0
48201450200,5965.0,150709.0,5965.0,435.0,2193.0,221.0
48201450500,3412.0,144891.0,3412.0,132.0,1498.0,11.0
48201453800,3614.0,59391.0,3453.0,347.0,1097.0,159.0
48201454000,4332.0,64322.0,4309.0,753.0,1284.0,220.0
48201520603,2037.0,32691.0,1972.0,627.0,747.0,224.0
48201521201,2057.0,59139.0,2057.0,799.0,722.0,125.0
48201532003,4018.0,32738.0,4018.0,2095.0,1576.0,285.0
48201532004,5291.0,30318.0,5291.0,2311.0,2190.0,630.0
48201534201,3371.0,69457.0,3274.0,148.0,830.0,132.0
48201540901,3102.0,96316.0,3102.0,343.0,1370.0,11.0
48201541207,4262.0,170938.0,4239.0,21.0,1440.0,0.0
48201550307,2841.0,45972.0,2841.0,620.0,1191.0,205.0
48201550308,2993.0,36393.0,2993.0,1362.0,1349.0,209.0
48201551101,3765.0,,3707.0,1104.0,1696.0,504.0
48201551703,8108.0,81757.0,8108.0,321.0,3066.0,515.0
48201554103,5154.0,105958.0,5154.0,188.0,1847.0,115.0
48201554104,4064.0,126094.0,4029.0,692.0,1354.0,22.0
48201554908,7681.0,118409.0,7681.0,433.0,2594.0,161.0
48201555102,6083.0,89318.0,6083.0,216.0,2506.0,58.0
48201555401,3953.0,153981.0,3850.0,336.0,1213.0,104.0
48201222502,3969.0,52594.0,3959.0,1062.0,1060.0,235.0
48201222504,3340.0,36968.0,3340.0,1360.0,940.0,231.0
48201233702,3057.0,44318.0,3057.0,974.0,844.0,246.0
48201240905,5370.0,74907.0,5370.0,720.0,1762.0,76.0
48201241101,4538.0,79777.0,4494.0,763.0,1367.0,224.0
48201241301,5161.0,118261.0,5161.0,815.0,1622.0,159.0
48201250304,11105.0,97133.0,8396.0,431.0,2681.0,306.0
48201250602,4634.0,50297.0,4634.0,1819.0,1603.0,606.0
48201313801,1549.0,19330.0,1549.0,831.0,720.0,359.0
48201313901,3964.0,80819.0,3964.0,419.0,2077.0,182.0
48201314003,2689.0,52500.0,2684.0,883.0,1444.0,70.0
48201314402,2037.0,84961.0,2037.0,196.0,1269.0,21.0
48201333302,3515.0,53783.0,3515.0,634.0,1023.0,326.0
48201333501,3311.0,41558.0,3311.0,788.0,1186.0,428.0
48201343000,8808.0,63542.0,8788.0,1306.0,3050.0,377.0
48201343200,5446.0,118359.0,5446.0,170.0,1821.0,52.0
48201350604,3684.0,111250.0,3621.0,37.0,1381.0,55.0
48201410401,3899.0,116934.0,3899.0,185.0,2117.0,0.0
48201410801,2664.0,83026.0,2664.0,613.0,1552.0,44.0
48201411902,2391.0,113125.0,2057.0,307.0,1215.0,0.0
48201412201,2331.0,135417.0,2330.0,365.0,1163.0,0.0
48201412300,6959.0,250001.0,6959.0,86.0,2422.0,0.0
48201412400,4525.0,250001.0,4525.0,83.0,1481.0,0.0
48201422701,4750.0,55286.0,4750.0,690.0,1673.0,339.0
48201422702,3445.0,74914.0,3445.0,713.0,1112.0,199.0
48201423100,2871.0,34656.0,2871.0,1193.0,947.0,383.0
48201423600,7068.0,66356.0,7068.0,430.0,2479.0,520.0
48201431801,3660.0,78551.0,3660.0,499.0,2119.0,152.0
48201432705,5242.0,34030.0,5168.0,2693.0,1653.0,438.0
48201433100,3295.0,47480.0,3295.0,1049.0,1100.0,332.0
48201520200,3189.0,151607.0,3189.0,124.0,1332.0,47.0
48201520502,4644.0,49909.0,4644.0,771.0,1642.0,45.0
48201520604,3447.0,81483.0,3447.0,706.0,1165.0,139.0
