geoid,lat,lon,daytime_jobs
482012223001,29.896287,-95.3426736,370
482015110011,29.8041748,-95.4401341,789
482013311003,29.675337,-95.3599217,88
482013312001,29.6634591,-95.3595876,451
482013312002,29.6643738,-95.36676,86
482013313003,29.6373075,-95.3822325,25
482013313001,29.6521377,-95.3810172,383
482013314001,29.6519044,-95.3664585,97
482013217001,29.6789282,-95.2401798,127
482013331002,29.6752782,-95.2731167,418
482013332012,29.6677237,-95.2669882,33
482012507012,30.0123552,-95.2293773,8966
482015113011,29.8004427,-95.4026836,1278
482015113013,29.7932626,-95.4086127,641
482015113014,29.799999,-95.4088355,919
482015114001,29.7970888,-95.3861595,316
482015114003,29.7982224,-95.38279,302
482015216001,29.8394583,-95.5284996,11617
482015219001,29.8274354,-95.554461,1316
482015206011,29.8119055,-95.4932106,92
482013313002,29.6486167,-95.3714864,19
482013318001,29.648819,-95.3439566,0
482013327002,29.6854361,-95.3165281,2230
482014319022,29.7335925,-95.4641122,5081
482014319021,29.7381049,-95.4641335,18552
482014318032,29.743305,-95.4656238,1612
482014318041,29.7456002,-95.4605339,19501
482014318043,29.754065,-95.459371,6583
482014317012,29.7587814,-95.4603158,4754
482012415011,29.967693,-95.2937807,519
482012405063,29.9555797,-95.3967414,0
482015502012,29.9631552,-95.426001,5
482015206032,29.8049379,-95.4869603,126
482015323023,29.8606261,-95.5028177,1788
482015320041,29.856154,-95.4654345,0
482012206003,29.8411897,-95.3613872,498
482012207013,29.8433483,-95.3538427,383
482012207023,29.825311,-95.3510369,65
482012106003,29.8073372,-95.3694152,454
482012106001,29.8104679,-95.3614505,134
482014211013,29.7193029,-95.4743613,551
482014327051,29.7247069,-95.4953977,717
482013335012,29.6687698,-95.2792655,337
482013333021,29.6456281,-95.2557821,3429
482015333011,29.874196,-95.4162023,452
482013144021,29.6951588,-95.4116491,370
482014122013,29.7082414,-95.4083281,864
482014315051,29.7518295,-95.4842905,2700
482014312041,29.7405868,-95.5030097,325
482014546003,29.7787409,-95.7425239,2979
482015203022,29.797675,-95.4805572,1110
482015203011,29.7995102,-95.4719142,222
482014107041,29.7403505,-95.3860373,172
482015110032,29.7942834,-95.433403,601
482015112022,29.8026888,-95.4172455,967
482014109001,29.7327262,-95.405146,593
482014327062,29.7288081,-95.4916083,847
482015115012,29.8074718,-95.4026257,647
482012216011,29.8929975,-95.4087305,295
482014320032,29.7364278,-95.4871215,678
482015527012,29.9692364,-95.5514455,3689
482015301011,29.8156294,-95.4478229,23
482014313031,29.7390844,-95.4986603,280
482014321021,29.7345864,-95.5092029,1173
482013329001,29.688375,-95.2882412,2714
482012405051,29.9510306,-95.3965443,0
482015515013,29.952975,-95.5477541,2309
482012520032,29.9615288,-95.1550615,299
482015205023,29.829999,-95.4836061,2629
482015215011,29.8274878,-95.5246901,53
482013303011,29.6331257,-95.478517,96
482015504051,29.9980073,-95.469723,732
482015220022,29.8286991,-95.5288936,90
482015503081,29.9857004,-95.4278828,1026
482015321022,29.8476314,-95.4743013,26
482015323021,29.8541447,-95.4946716,5639
482014104014,29.7499729,-95.4050879,69
482013117021,29.7010603,-95.2990496,1779
482012207021,29.8335636,-95.3458268,33
482014115041,29.7378704,-95.4323856,10484
482014115042,29.7328676,-95.4335312,18993
482014115062,29.7308882,-95.4389332,1195
482014115052,29.7328324,-95.4447139,757
482013129012,29.7152142,-95.3570693,42
482015107021,29.767813,-95.4011989,331
482014317022,29.7595859,-95.4703775,1005
482014317011,29.7651889,-95.4643798,1296
482014301021,29.7725653,-95.46686,1433
482014301013,29.78171,-95.4717386,132
482014301012,29.7806349,-95.4622158,906
482014301011,29.7772272,-95.45726,774
482015109022,29.785095,-95.4373941,6429
482015108021,29.7680634,-95.4418715,371
482015108012,29.7684047,-95.4182205,203
482013134003,29.6943743,-95.3365194,143
482012327041,29.7973532,-95.2122712,81
482012327032,29.7731385,-95.2219755,718
482012325002,29.8082774,-95.2309006,1065
482014319011,29.7305866,-95.4652554,851
482014315061,29.7597353,-95.4798413,1574
482015106011,29.7733226,-95.4064192,947
482015106022,29.7758814,-95.4149656,1244
482013409003,29.5676546,-95.148688,183
482012312002,29.8540626,-95.2580631,104
482015104001,29.7862035,-95.389835,2848
482015103022,29.789381,-95.3816413,73
482013332042,29.659662,-95.2756313,27
482012205004,29.8363102,-95.3804872,351
482013202021,29.6917124,-95.2744607,36
482013207001,29.6678299,-95.2527371,3627
482013129022,29.7157415,-95.3661642,75
482014216012,29.701535,-95.4877436,255
482014216021,29.7041868,-95.4840927,317
482014215011,29.7071019,-95.4797747,564
482014230021,29.6758631,-95.5225108,206
482014228002,29.6843506,-95.5180143,307
482014230022,29.6809182,-95.5142691,152
482014230011,29.6792289,-95.5112379,214
482014226013,29.6848977,-95.5060592,86
482014226022,29.685332,-95.501254,28
482014224032,29.6619278,-95.4944857,21
482014225021,29.6700821,-95.4972559,116
