intersection,hcad_num,state_class,site_type,acreage,land_value,bld_value,total_appraised_val,address,city,zip,lat,lon,subdivision
Cullen Boulevard & Old Spanish Trail,0410070150020,F1,Under-improved commercial (redevelopment),0.99,1219900.0,100.0,1220000.0,4429 GRIGGS RD,HOUSTON,77021,29.702376,-95.348652,MARTIN LUTHER KING JR BLVD / GRIGGS
Cullen Boulevard & Old Spanish Trail,0581750000001,F1,Under-improved commercial (redevelopment),0.92,1200000.0,15895.0,1268434.0,4340 GRIGGS RD,HOUSTON,77021,29.701992,-95.350544,SOUTHEND SUNNYSIDE
Cullen Boulevard & Old Spanish Trail,0410070160182,C2,Vacant commercial land,0.89,465216.0,0.0,465216.0,CULLEN,HOUSTON,77021,29.702277,-95.34607,MARTIN LUTHER KING JR BLVD / GRIGGS
Cullen Boulevard & Old Spanish Trail,0410070150012,F1,Under-improved commercial (redevelopment),0.75,653400.0,156439.0,809839.0,5761 CULLEN BLVD,HOUSTON,77021,29.703384,-95.348022,MARTIN LUTHER KING JR BLVD / GRIGGS
Cullen Boulevard & Old Spanish Trail,1467350010001,F1,Under-improved commercial (redevelopment),0.63,818070.0,0.0,600691.0,BLYTHEWOOD ST,HOUSTON,77021,29.704666,-95.346066,MARTIN LUTHER KING JR BLVD / GRIGGS
Cullen Boulevard & Old Spanish Trail,1382400010002,F1,Under-improved commercial (redevelopment),0.6,783690.0,2769.0,788016.0,4331 OLD SPANISH TRL,HOUSTON,77021,29.705046,-95.347257,MARTIN LUTHER KING JR BLVD / GRIGGS
Cullen Boulevard & Old Spanish Trail,0410070150016,F1,Under-improved commercial (redevelopment),0.59,903175.0,423615.0,1280496.0,4303 OLD SPANISH TRL,HOUSTON,77021,29.704286,-95.349061,MARTIN LUTHER KING JR BLVD / GRIGGS
Cullen Boulevard & Old Spanish Trail,0691050010001,F1,Under-improved commercial (redevelopment),0.52,675000.0,104856.0,779856.0,4502 GRIGGS RD,HOUSTON,77021,29.701366,-95.348294,SOUTHEND SUNNYSIDE
Cullen Boulevard & Old Spanish Trail,0410070150072,F1,Under-improved commercial (redevelopment),0.52,629720.0,301129.0,930624.0,5757 CULLEN BLVD,HOUSTON,77021,29.704885,-95.348661,MARTIN LUTHER KING JR BLVD / GRIGGS
Cullen Boulevard & Reed Road,0751990020021,F1,Under-improved commercial (redevelopment),0.86,485264.0,194715.0,679979.0,4743 REED RD,HOUSTON,77033,29.658798,-95.35312,EAST SUNNYSIDE COURT
Cullen Boulevard & Reed Road,0730510070001,F1,Under-improved commercial (redevelopment),0.55,312000.0,95445.0,407445.0,9030 CULLEN BLVD,HOUSTON,77051,29.660214,-95.355804,EAST SUNNYSIDE COURT
Cullen Boulevard & Reed Road,0730510120001,C2,Vacant commercial land,0.46,260000.0,0.0,260000.0,9104 CULLEN BLVD,HOUSTON,77051,29.659589,-95.356035,EAST SUNNYSIDE COURT
Cullen Boulevard & Reed Road,0770340150008,F1,Under-improved commercial (redevelopment),0.4,227500.0,92325.0,388766.0,8941 CULLEN BLVD,HOUSTON,77051,29.661534,-95.355185,EAST SUNNYSIDE COURT
Martin Luther King Jr Boulevard & Reed Road,0470560000010,F1,Under-improved commercial (redevelopment),0.92,519389.0,54933.0,574322.0,8707 MARTIN LUTHER KING JR BLVD,HOUSTON,77033,29.656499,-95.33591,EAST SUNNYSIDE COURT
Martin Luther King Jr Boulevard & Reed Road,0470560000066,F1,Under-improved commercial (redevelopment),0.68,387504.0,50201.0,437705.0,5710 REED RD,HOUSTON,77033,29.658224,-95.335698,EAST SUNNYSIDE COURT
Martin Luther King Jr Boulevard & Reed Road,0751990310008,F1,Under-improved commercial (redevelopment),0.55,163822.0,91178.0,255000.0,9329 MERLE ST,HOUSTON,77033,29.656043,-95.339219,EAST SUNNYSIDE COURT
Martin Luther King Jr Boulevard & Reed Road,0844780000010,F1,Under-improved commercial (redevelopment),0.49,276250.0,121486.0,397736.0,8515 MARTIN LUTHER KING JR BLVD,HOUSTON,77033,29.659371,-95.336157,EAST SUNNYSIDE COURT
Martin Luther King Jr Boulevard & Reed Road,0470560000063,C2,Vacant commercial land,0.43,241800.0,0.0,241800.0,8626 MARTIN LUTHER KING JR BLVD,HOUSTON,77033,29.657461,-95.336937,EAST SUNNYSIDE COURT
Scott Street & Old Spanish Trail,1207430010001,F1,Under-improved commercial (redevelopment),0.9,1369480.0,551643.0,1921123.0,6073 SCOTT ST,HOUSTON,77021,29.700619,-95.359129,SOUTHLAND / LA SALETTE
Scott Street & Old Spanish Trail,0450640000175,F1,Under-improved commercial (redevelopment),0.69,724490.0,6058.0,401498.0,3918 OLD SPANISH TRL,HOUSTON,77021,29.701993,-95.356745,SOUTHLAND / LA SALETTE
Scott Street & Old Spanish Trail,1465290010002,F1,Under-improved commercial (redevelopment),0.69,1050000.0,374939.0,1356818.0,3720 OLD SPANISH TRAIL,HOUSTON,77021,29.701705,-95.360555,SOUTHLAND / LA SALETTE
Scott Street & Old Spanish Trail,0450640000345,F1,Under-improved commercial (redevelopment),0.69,900000.0,0.0,902000.0,3834 GRIGGS RD,HOUSTON,77021,29.704198,-95.35768,OST / GRIGGS
Scott Street & Old Spanish Trail,0450640000068,F1,Under-improved commercial (redevelopment),0.59,775950.0,164050.0,940000.0,5926 SCOTT ST,HOUSTON,77021,29.703448,-95.359325,OST / GRIGGS
Scott Street & Old Spanish Trail,0410070080062,C2,Vacant commercial land,0.49,640320.0,0.0,614707.0,3839 GRIGGS RD,HOUSTON,77021,29.704583,-95.356824,OST / GRIGGS
Scott Street & Old Spanish Trail,0410070080055,F1,Under-improved commercial (redevelopment),0.44,571890.0,30165.0,602055.0,5851 SCOTT ST,HOUSTON,77021,29.704968,-95.358093,OST / GRIGGS
Scott Street & Reed Road,0771850040007,C1,Vacant commercial land,0.58,169208.0,0.0,169208.0,9229 MARTELL ST,HOUSTON,77051,29.656878,-95.369489,CAROLINA GARDENS
Scott Street & Reed Road,0771850020019,F1,Under-improved commercial (redevelopment),0.5,281632.0,85903.0,381852.0,3502 REED RD,HOUSTON,77051,29.657782,-95.371678,EAST SUNNYSIDE COURT
Scott Street & Reed Road,0450680000106,F1,Under-improved commercial (redevelopment),0.47,335595.0,59602.0,410592.0,9202 SCOTT ST,HOUSTON,77051,29.657914,-95.368321,EAST SUNNYSIDE COURT
Scott Street & Reed Road,0720720090002,C1,Vacant commercial land,0.45,187600.0,0.0,160800.0,9141 BRANDON ST,HOUSTON,77051,29.658771,-95.368753,SUNNYSIDE EXT-SOUTH
