hcad_num,name,assisted_units,lat,lon
0410300000175,Plum Creek Townhomes,10,29.6958341,-95.3017827
1142750010016,BELLFORT PARK APARTMENTS,64,29.67316,-95.4450788
0650090010007,WESLEY SQUARE APARTMENTS,252,29.6791632,-95.3519571
0650090010007,SUNFLOWER TERRACE,160,29.669314,-95.3526216
0650090010007,MISSIONARY VILLAGE APARTMENTS,160,29.6854653,-95.3621411
0650090010007,PILGRIM PLACE III,40,29.669293,-95.3525505
0430390000003,WESLEY SQUARE APARTMENTS,252,29.6791632,-95.3519571
0430390000003,SUNFLOWER TERRACE,160,29.669314,-95.3526216
0430390000003,MISSIONARY VILLAGE APARTMENTS,160,29.6854653,-95.3621411
0430390000003,PILGRIM PLACE III,40,29.669293,-95.3525505
0570050020012,GULF COAST ARMS,160,29.8193145,-95.3288295
1295900010005,THE PINEMONT (aka) GOOD SHEPHERD VILLAGE,130,29.8404371,-95.4773765
0411010000105,ST. JAMES VILLAGE aka CHATEAU VILLAGE,150,29.6134271,-95.433077
