hcad_num,site_label,posted_speed_limit_mph,speed_assessment,nearby_co_tenants,approx_lot_dimensions,deed_restrictions,median_ingress_egress
0582970000612,Site 01 (Parkridge) - Eldridge Parkway & Westhollow Parkway (unaddressed vacant tract),40,sweet spot (35-45 mph) for impulse-stop visibility,Gas station (1336 ft),"~216 ft x 219 ft (bounding box, not a survey)","NOT VERIFIED -- requires a title search, no public API covers this",NOT VERIFIED -- requires a site plan / civil engineering review
0410560010009,Site 02 (Westwood) - South Sam Houston Parkway West & Southwest Freeway Frontage Road (unaddressed vacant tract),60,fast road -- reduced impulse-stop visibility,none found within 0.3 mi,"~405 ft x 320 ft (bounding box, not a survey)","NOT VERIFIED -- requires a title search, no public API covers this",NOT VERIFIED -- requires a site plan / civil engineering review
1041420000005,Site 03 (Braeburn) - 9651 GLENFIELD CT,not tagged in OSM,not tagged in OSM,none found within 0.3 mi,"~230 ft x 181 ft (bounding box, not a survey)","NOT VERIFIED -- requires a title search, no public API covers this",NOT VERIFIED -- requires a site plan / civil engineering review
1243410010006,Site 04 (Westwood) - South Sam Houston Parkway West & West Bellfort Street (unaddressed vacant tract),45,sweet spot (35-45 mph) for impulse-stop visibility,none found within 0.3 mi,"~199 ft x 257 ft (bounding box, not a survey)","NOT VERIFIED -- requires a title search, no public API covers this",NOT VERIFIED -- requires a site plan / civil engineering review
0410300000175,Site 05 (Pecan Park) - 6600 STILLWELL ST,not tagged in OSM,not tagged in OSM,none found within 0.3 mi,"~250 ft x 255 ft (bounding box, not a survey)","NOT VERIFIED -- requires a title search, no public API covers this",NOT VERIFIED -- requires a site plan / civil engineering review
0402370000053,Site 06 (Pecan Park) - Broadway Street & La Porte Freeway (unaddressed vacant tract),55,fast road -- reduced impulse-stop visibility,United States Post Office (1417 ft),"~141 ft x 194 ft (bounding box, not a survey)","NOT VERIFIED -- requires a title search, no public API covers this",NOT VERIFIED -- requires a site plan / civil engineering review
1142750010016,Site 07 (Houston) - South Post Oak Road & South Post Oak Road Frontage Road (unaddressed vacant tract),45,sweet spot (35-45 mph) for impulse-stop visibility,none found within 0.3 mi,"~570 ft x 263 ft (bounding box, not a survey)","NOT VERIFIED -- requires a title search, no public API covers this",NOT VERIFIED -- requires a site plan / civil engineering review
0882600000014,Site 08 (Braeburn) - 7818 HILLCROFT ST,35,sweet spot (35-45 mph) for impulse-stop visibility,none found within 0.3 mi,"~142 ft x 203 ft (bounding box, not a survey)","NOT VERIFIED -- requires a title search, no public API covers this",NOT VERIFIED -- requires a site plan / civil engineering review
0650090010007,Site 09 (Sunnyside) - 1023 NIAGARA ST,not tagged in OSM,not tagged in OSM,Gas station (777 ft); Gas station (1041 ft),"~312 ft x 203 ft (bounding box, not a survey)","NOT VERIFIED -- requires a title search, no public API covers this",NOT VERIFIED -- requires a site plan / civil engineering review
0430390000003,Site 10 (Sunnyside) - Brookhaven Street & Cullen Boulevard (unaddressed vacant tract),40,sweet spot (35-45 mph) for impulse-stop visibility,Gas station (311 ft); Gas station (622 ft),"~216 ft x 216 ft (bounding box, not a survey)","NOT VERIFIED -- requires a title search, no public API covers this",NOT VERIFIED -- requires a site plan / civil engineering review
0292450680001,Site 11 (Pleasantville) - 8200 SIGNET ST,not tagged in OSM,not tagged in OSM,none found within 0.3 mi,"~203 ft x 204 ft (bounding box, not a survey)","NOT VERIFIED -- requires a title search, no public API covers this",NOT VERIFIED -- requires a site plan / civil engineering review
1152170000007,Site 12 (El Dorado) - Crosby Freeway Frontage Road & East Freeway Frontage Road (unaddressed vacant tract),not tagged in OSM,not tagged in OSM,none found within 0.3 mi,"~266 ft x 171 ft (bounding box, not a survey)","NOT VERIFIED -- requires a title search, no public API covers this",NOT VERIFIED -- requires a site plan / civil engineering review
0570050020012,Site 13 (North Shadydale) - 7608 LOCKWOOD DR,not tagged in OSM,not tagged in OSM,Shell (822 ft),"~418 ft x 108 ft (bounding box, not a survey)","NOT VERIFIED -- requires a title search, no public API covers this",NOT VERIFIED -- requires a site plan / civil engineering review
0651240420709,Site 14 (Kashmere Gardens) - 5429 CAVALCADE ST,not tagged in OSM,not tagged in OSM,none found within 0.3 mi,"~154 ft x 290 ft (bounding box, not a survey)","NOT VERIFIED -- requires a title search, no public API covers this",NOT VERIFIED -- requires a site plan / civil engineering review
