hcad_num,brand,name,lat,lon
0582970000612,Fiesta Mart,"Fiesta Mart, LLC",29.7034726945276,-95.6393074978329
0582970000612,Fiesta Mart,Fiesta Mart #14,29.70326,-95.63881
0410560010009,Dollar General,Dollar General,29.65384463,-95.57103644
0410560010009,Dollar Tree,Dollar Tree,29.6504499,-95.56571959
0410560010009,H-E-B,Morris P Hebert,29.663608,-95.553736
1041420000005,Family Dollar,Family Dollar,29.67229301,-95.509721
1041420000005,Family Dollar,Family Dollar,29.6875341,-95.4895706
1243410010006,Dollar Tree,Dollar Tree,29.6504499,-95.56571959
1243410010006,H-E-B,Morris P Hebert,29.663608,-95.553736
0410300000175,Dollar General,Dollar General,29.70580385,-95.30877952
0410300000175,Dollar Tree,Dollar Tree,29.711743944615726,-95.3135887123076
0410300000175,Family Dollar,Family Dollar,29.70381553,-95.30591403
0410300000175,Ross Dress for Less,Ross Dress for Less,29.69706559,-95.29573806
0402370000053,Family Dollar,Family Dollar,29.7102811,-95.27846729
1142750010016,Five Below,Five Below,29.68579905,-95.46134449
1142750010016,Ross Dress for Less,Ross Dress for Less,29.68732901,-95.46090641
0882600000014,Family Dollar,Family Dollar,29.6875341,-95.4895706
0650090010007,Family Dollar,Family Dollar,29.68352278,-95.36618378
0650090010007,Family Dollar,Family Dollar,29.66961881042284,-95.35516524779543
0650090010007,Family Dollar,Family Dollar,29.6897587,-95.34957659
0650090010007,H-E-B,Mt Hebron Baptist Church,29.67373565,-95.35389208
0430390000003,Family Dollar,Family Dollar,29.68352278,-95.36618378
0430390000003,Family Dollar,Family Dollar,29.66961881042284,-95.35516524779543
0430390000003,Family Dollar,Family Dollar,29.6897587,-95.34957659
0430390000003,H-E-B,Mt Hebron Baptist Church,29.67373565,-95.35389208
0292450680001,Kroger,Kroger Garth Rd Baytown,29.75929384000001,-95.28179928
1152170000007,Kroger,Kroger Distribution Center,29.782268098792255,-95.27214200384854
1152170000007,Kroger,Kroger - Supply Chain HOU Warehouse,29.780776977542555,-95.26951152177219
1152170000007,Kroger,Krogers Warehouse,29.77643,-95.27196
0570050020012,Family Dollar,Family Dollar,29.83066433,-95.30276926
0651240420709,Fiesta Mart,Fiesta Mart,29.81287342,-95.31768171
0651240420709,Family Dollar,Family Dollar,29.8114282,-95.3170484
0651240420709,Dollar General,Dollar General,29.80614228,-95.3177153
1148490000001,H-E-B,ATM Heb-Joe V's,29.65584373474121,-95.51268005371094
1148490000001,Family Dollar,Family Dollar,29.65672146,-95.50755273
1148490000001,Dollar General,Dollar General,29.64096484,-95.50882591
1148490000001,Family Dollar,Family Dollar,29.643933033238113,-95.4914580146602
0461710000003,H-E-B,ATM Heb-Joe V's,29.65584373474121,-95.51268005371094
0461710000003,Family Dollar,Family Dollar,29.65672146,-95.50755273
0461710000003,Dollar General,Dollar General,29.64096484,-95.50882591
0461710000003,Family Dollar,Family Dollar,29.643933033238113,-95.4914580146602
1295900010005,Aldi,Vivaldi Lifestyles,29.83222656,-95.5009717
1295900010005,Family Dollar,Family Dollar,29.8273969,-95.49511826
1295900010005,Burlington,Burlington,29.8318886,-95.4842595
1295900010005,H-E-B,ATM Heb-Joe V's,29.832237243652344,-95.48310089111328
1295900010005,Family Dollar,Family Dollar,29.84158411,-95.47477952
1295900010005,Food Town,Food Town,29.84235573,-95.47443992
0420760000039,Joe V's Smart Shop,Joe V's Smart Shop 1,29.904329299926758,-95.48029327392578
0420760000039,Family Dollar,Family Dollar,29.89310096,-95.47893429
0451860000445,Aldi,Monumental Plaza Garibaldi,29.6094331,-95.3956984
0451860000445,Dollar General,Dollar General,29.61494466,-95.37703224
0411010000105,Dollar General,Dollar General,29.61383486,-95.4499306
0411010000105,Ross Dress for Less,Ross Dress For Less,29.6128738,-95.4434102
0411010000105,Family Dollar,Family Dollar,29.61211946,-95.44516425
