site_label,hcad_num,neighborhood,cluster_id,address,acreage,site_type,flood_zone,in_sfha,aadt,aadt_road_verified,aadt_on_freeway,meets_8000_aadt_benchmark,raw_traffic_aadt_used_for_gate,nearest_dollar_store_mi,nearest_dollar_store,nearest_dollar_store_mi_incl_overture,overture_new_competitors_found_1mi,nearest_family_dollar_mi_incl_overture,pop_5min_drive,pop_10min_drive,trade_area_median_income,huff_capture_pct,violent_crime_count_12mo_0_5mi,property_crime_count_12mo_0_5mi,total_index_crime_count_12mo_0_5mi,lihtc_unit_count_1mi,daytime_workplace_pop_5min_drive,pct_tract_pop_beyond_half_mi_from_food_retailer,residential_demand_subscore,lihtc_subscore,daytime_pop_subscore,food_access_subscore,demand_score,huff_score,competition_score,traffic_score,cost_feasibility_score,flood_score,crime_score,total_score,raw_score_rank,primary_recommendation
Site 01 (Parkridge) - Eldridge Parkway & Westhollow Parkway (unaddressed vacant tract),0582970000612,Parkridge,C1,Eldridge Parkway & Westhollow Parkway (unaddressed vacant tract),1.0,Vacant commercial land,X,F,32634,Bellaire Boulevard;Đại Lộ Sàigòn,False,True,32634,1.49,Dollar Tree,1.49,2,1.48,32879,224098,61815,17.4,2,4,6,442,11614,1.23,48.0,37.2,41.6,3.9,41.0,46.3,32.9,100.0,93.2,100.0,96.6,67.3,1,True
Site 10 (Sunnyside) - Brookhaven Street & Cullen Boulevard (unaddressed vacant tract),0430390000003,Sunnyside,C5,Brookhaven Street & Cullen Boulevard (unaddressed vacant tract),0.66,Vacant commercial land,X,F,20532,Cullen Boulevard,False,True,20532,4.29,Dollar General,4.29,4,0.58,43688,258423,39529,30.1,60,68,128,221,10041,0.0,77.9,18.6,35.9,0.0,54.9,88.7,98.1,61.7,48.7,100.0,13.0,66.9,2,False
Site 06 (Pecan Park) - Broadway Street & La Porte Freeway (unaddressed vacant tract),0402370000053,Pecan Park,C3,Broadway Street & La Porte Freeway (unaddressed vacant tract),0.6,Vacant commercial land,X,F,2651,South Loop East Frontage Road,False,False,2651,4.19,Dollar General,4.19,1,0.3,37664,167502,50251,33.5,13,31,44,0,6334,0.0,66.8,0.0,22.6,0.0,43.4,100.0,95.8,5.0,59.7,100.0,70.5,66.1,3,False
Site 09 (Sunnyside) - 1023 NIAGARA ST,0650090010007,Sunnyside,C5,1023 NIAGARA ST,0.72,Vacant commercial land,X,F,1547,South Loop East Frontage Road,False,False,1547,4.37,Dollar General,4.37,4,0.56,35427,225296,39363,32.4,57,63,120,221,6524,30.17,62.6,18.6,23.3,95.8,53.4,96.3,100.0,1.5,84.9,100.0,18.5,66.0,4,False
Site 05 (Pecan Park) - 6600 STILLWELL ST,0410300000175,Pecan Park,C3,6600 STILLWELL ST,0.81,Vacant commercial land,X,F,19656,Gulf Freeway Frontage Road,False,True,19656,3.03,Dollar General,0.14,4,0.24,44339,228331,55390,30.6,24,62,86,152,16560,0.0,78.3,12.8,59.3,0.0,57.8,90.3,1.4,58.9,100.0,100.0,41.8,65.0,5,False
Site 11 (Pleasantville) - 8200 SIGNET ST,0292450680001,Pleasantville,C6,8200 SIGNET ST,0.92,Vacant commercial land,X,F,6965,Clinton Drive,False,False,6965,3.12,Dollar Tree,3.12,1,2.57,10062,95209,51781,23.8,4,12,16,0,9790,31.49,15.9,0.0,35.0,100.0,24.8,67.7,70.9,18.7,73.8,100.0,89.7,58.6,6,False
Site 20 (Central Southwest Houston) - 4620 FUQUA ST,0411010000105,Central Southwest Houston,C10,4620 FUQUA ST,0.96,Vacant commercial land,X,F,27301,South Post Oak Road,False,True,27301,2.8,Dollar Tree,0.11,3,0.21,20317,80264,52684,25.3,7,31,38,430,2663,0.1,34.8,36.2,9.4,0.3,27.8,72.7,0.7,83.1,60.0,100.0,74.7,55.9,7,False
Site 08 (Braeburn) - 7818 HILLCROFT ST,0882600000014,Braeburn,C4,7818 HILLCROFT ST,0.63,Vacant commercial land,X,F,13371,Hillcroft Avenue,False,True,13371,0.66,Dollar Tree,0.66,1,0.45,64978,300614,60942,9.2,9,36,45,93,12597,1.67,100.0,7.8,45.1,5.3,68.5,19.0,13.5,39.0,65.1,100.0,69.9,51.4,8,False
Site 04 (Westwood) - South Sam Houston Parkway West & West Bellfort Street (unaddressed vacant tract),1243410010006,Westwood,C2,South Sam Houston Parkway West & West Bellfort Street (unaddressed vacant tract),0.65,Vacant commercial land,X,F,22329,Southwest Freeway Frontage Road,False,True,22329,2.45,Five Below,0.89,2,1.88,35001,235298,57530,15.8,12,74,86,0,14102,6.7,57.9,0.0,50.5,21.3,44.5,41.0,18.9,67.4,32.7,100.0,41.8,47.1,9,False
Site 15 (Fondren Gardens) - Fondren Road & West Airport Boulevard (unaddressed vacant tract),1148490000001,Fondren Gardens,C8,Fondren Road & West Airport Boulevard (unaddressed vacant tract),0.71,Vacant commercial land,X,F,12884,West Airport Boulevard,False,True,12884,1.92,Dollar Tree,0.22,4,0.21,38942,169985,59428,15.2,32,115,147,1189,4992,0.0,61.5,100.0,17.8,0.0,54.6,39.0,3.3,37.5,86.3,100.0,0.0,46.4,10,False
