hcad_num,site_label,overture_new_competitors_found_1mi,overture_new_competitor_brands,nearest_dollar_store_mi_osm_only,nearest_dollar_store_mi_incl_overture,nearest_family_dollar_mi_osm_only,nearest_family_dollar_mi_incl_overture
0582970000612,Site 01 (Parkridge) - Eldridge Parkway & Westhollow Parkway (unaddressed vacant tract),2,Fiesta Mart,1.49,1.49,1.48,1.48
0410560010009,Site 02 (Westwood) - South Sam Houston Parkway West & Southwest Freeway Frontage Road (unaddressed vacant tract),3,Dollar General; Dollar Tree; H-E-B,2.29,0.69,1.98,1.98
1041420000005,Site 03 (Braeburn) - 9651 GLENFIELD CT,2,Family Dollar,1.14,1.14,1.75,0.87
1243410010006,Site 04 (Westwood) - South Sam Houston Parkway West & West Bellfort Street (unaddressed vacant tract),2,Dollar Tree; H-E-B,2.45,0.89,1.88,1.88
0410300000175,Site 05 (Pecan Park) - 6600 STILLWELL ST,4,Dollar General; Dollar Tree; Family Dollar; Ross Dress for Less,3.03,0.14,1.01,0.24
0402370000053,Site 06 (Pecan Park) - Broadway Street & La Porte Freeway (unaddressed vacant tract),1,Family Dollar,4.19,4.19,1.18,0.3
1142750010016,Site 07 (Houston) - South Post Oak Road & South Post Oak Road Frontage Road (unaddressed vacant tract),2,Five Below; Ross Dress for Less,0.1,0.1,2.22,2.22
0882600000014,Site 08 (Braeburn) - 7818 HILLCROFT ST,1,Family Dollar,0.66,0.66,0.68,0.45
0650090010007,Site 09 (Sunnyside) - 1023 NIAGARA ST,4,Family Dollar; H-E-B,4.37,4.37,4.16,0.56
0430390000003,Site 10 (Sunnyside) - Brookhaven Street & Cullen Boulevard (unaddressed vacant tract),4,Family Dollar; H-E-B,4.29,4.29,4.07,0.58
0292450680001,Site 11 (Pleasantville) - 8200 SIGNET ST,1,Kroger,3.12,3.12,2.57,2.57
1152170000007,Site 12 (El Dorado) - Crosby Freeway Frontage Road & East Freeway Frontage Road (unaddressed vacant tract),3,Kroger,1.43,1.43,4.62,4.62
0570050020012,Site 13 (North Shadydale) - 7608 LOCKWOOD DR,1,Family Dollar,0.11,0.11,1.64,0.9
0651240420709,Site 14 (Kashmere Gardens) - 5429 CAVALCADE ST,3,Dollar General; Family Dollar; Fiesta Mart,2.06,0.39,1.44,0.74
1148490000001,Site 15 (Fondren Gardens) - Fondren Road & West Airport Boulevard (unaddressed vacant tract),4,Dollar General; Family Dollar; H-E-B,1.92,0.22,0.21,0.21
0461710000003,Site 16 (Fondren Gardens) - 12309 FONDREN RD,4,Dollar General; Family Dollar; H-E-B,1.9,0.17,0.17,0.17
1295900010005,Site 17 (Langwood) - Bingle Road & Northwest Freeway Frontage Road (unaddressed vacant tract),6,Aldi; Burlington; Family Dollar; Food Town; H-E-B,1.44,1.44,0.92,0.74
0420760000039,Site 18 (Inwood) - Tomball Parkway & West Montgomery Road (unaddressed vacant tract),2,Family Dollar; Joe V's Smart Shop,0.08,0.08,0.08,0.08
0451860000445,Site 19 (Minnetex) - 2138 VAN CLEVE ST,2,Aldi; Dollar General,0.96,0.81,1.87,1.87
0411010000105,Site 20 (Central Southwest Houston) - 4620 FUQUA ST,3,Dollar General; Family Dollar; Ross Dress for Less,2.8,0.11,1.49,0.21
