cluster_id,neighborhood,intersection,hcad_num,state_class,site_type,acreage,land_value,bld_value,total_appraised_val,address,city,zip,lat,lon,subdivision
C1,Alief,Eldridge Parkway & Westhollow Parkway,0582970000612,C2,Vacant commercial land,1.0,217035.0,0.0,217035.0,ALIEF CLODINE RD,HOUSTON,77082,29.711759,-95.626533,ALIEF CLODINE RD / DAIRY ASHFORD
C1,Alief,South Sam Houston Parkway West & Southwest Freeway Frontage Road,0410560010009,C2,Vacant commercial land,0.99,273887.0,0.0,273887.0,EMERALD LN,HOUSTON,77074,29.657915,-95.558036,BRAEBURN GARDENS
C2,Westchase,Hillcroft Avenue & South Braeswood Boulevard,1041420000005,C2,Vacant commercial land,0.92,212850.0,0.0,212850.0,9651 GLENFIELD CT,HOUSTON,77096,29.675479,-95.495653,FONDREN SOUTHWEST
C2,Westchase,South Sam Houston Parkway West & West Bellfort Street,1243410010006,C2,Vacant commercial land,0.65,449824.0,0.0,337368.0,SAM HOUSTON PKY,HOUSTON,77031,29.652612,-95.551142,BELTWAY 8 HWY 59 TO US 90
C3,Sunnyside,Griggs Road & Telephone Road,0410300000175,C2,Vacant commercial land,0.81,123494.0,0.0,123494.0,6600 STILLWELL ST,HOUSTON,77087,29.707081,-95.307012,GULFGATE
C3,Sunnyside,Broadway Street & La Porte Freeway,0402370000053,C2,Vacant commercial land,0.6,287881.0,0.0,263803.0,LA PORTE RD,HOUSTON,77012,29.714372,-95.276945,PECAN PARK
C4,Gulfton,South Post Oak Road & South Post Oak Road Frontage Road,1142750010016,C2,Vacant commercial land,0.67,233136.0,0.0,233136.0,POST OAK RD,HOUSTON,77096,29.675468,-95.458203,WESTBURY/ MEYERPARK
C4,Gulfton,Bissonnet Street & Hillcroft Avenue,0882600000014,C2,Vacant commercial land,0.63,275690.0,0.0,275690.0,7818 HILLCROFT ST,HOUSTON,77081,29.693237,-95.493331,BRAEBURN/MEYERLAND
C5,Braeswood,Brookhaven Street & Cullen Boulevard,0650090010007,C1,Vacant commercial land,0.72,203000.0,0.0,203000.0,1023 NIAGARA ST,HOUSTON,77051,29.678775,-95.358589,BROOKHAVEN
C5,Braeswood,Brookhaven Street & Cullen Boulevard,0430390000003,C2,Vacant commercial land,0.66,373516.0,0.0,373516.0,LOOP,HOUSTON,77051,29.679824,-95.357547,EAST SUNNYSIDE COURT
C6,Denver Harbor,Clinton Drive & McCarty Street,0292450680001,C2,Vacant commercial land,0.92,340000.0,0.0,340000.0,8200 SIGNET ST,HOUSTON,77029,29.753223,-95.281595,PORT HOUSTON
C6,Denver Harbor,Crosby Freeway Frontage Road & East Freeway Frontage Road,1152170000007,C2,Vacant commercial land,0.89,75885.0,0.0,75885.0,CURRENCY ST,HOUSTON,77013,29.777084,-95.259654,EAST 10 BUSINESS PARK
C7,East Houston,East Crosstimbers Street & Lockwood Drive,0570050020012,C1,Vacant commercial land,0.96,222940.0,0.0,222940.0,7608 LOCKWOOD DR,HOUSTON,77016,29.829033,-95.3177,WESCOTT GARDENS/OTHERS
C7,East Houston,Cavalcade Street & Lockwood Drive,0651240420709,C2,Vacant commercial land,0.84,436584.0,0.0,436584.0,5429 CAVALCADE ST,HOUSTON,77026,29.800877,-95.315211,KASHMERE GARDENS
C8,Braeburn,Fondren Road & West Airport Boulevard,1148490000001,C2,Vacant commercial land,0.71,192450.0,0.0,192450.0,AIRPORT BLVD,HOUSTON,77035,29.643834,-95.507424,MAIN STREET GARDENS
C8,Braeburn,Fondren Road & West Airport Boulevard,0461710000003,C2,Vacant commercial land,0.64,224000.0,0.0,224000.0,12309 FONDREN RD,HOUSTON,77035,29.643347,-95.507842,MAIN STREET GARDENS
C9,Acres Homes,Bingle Road & Northwest Freeway Frontage Road,1295900010005,C2,Vacant commercial land,1.0,869980.0,0.0,869980.0,NORTHWEST FWY,HOUSTON,77092,29.836519,-95.485621,FEDERAL PLAZA AREA
C9,Acres Homes,Tomball Parkway & West Montgomery Road,0420760000039,C2,Vacant commercial land,1.0,435250.0,0.0,435250.0,SH 249,HOUSTON,77086,29.902147,-95.467157,W MOUNT HOUSTON RD SH249
C10,Central Southwest Houston,Almeda-Genoa Road & South Freeway Frontage Road,0451860000445,C2,Vacant commercial land,0.99,344992.0,0.0,206995.0,2138 VAN CLEVE ST,HOUSTON,77047,29.611582,-95.389986,EAST ANDERSON / ALMEDA
C10,Central Southwest Houston,Hiram Clarke Road & West Fuqua Street,0411010000105,C2,Vacant commercial land,0.96,458502.0,0.0,450165.0,4620 FUQUA ST,HOUSTON,77045,29.61363,-95.448103,W FUQUA/W OREM/HIRAM CLARK S OF BAYOU
